Drive,Dist_m,Deg
1,6.94,228
2,4.83,316
3,15.07,105
4,21.39,139
5,29.91,132
6,30.49,138
7,32.32,92
8,21.7,88
9,37.27,63
10,26.9,63
11,32,129
12,30.02,150
13,4.63,125
14,43.16,260
15,30.7,94
16,48.95,82
17,37.74,82
18,2.27,81
19,25.21,38
20,5.22,35
21,1.74,250
22,5.29,276
23,2.12,272
24,27.31,87
25,1.46,55
26,36.9,123
27,25.88,294
28,0.94,64
29,19.64,36
30,16.31,33
31,26.88,309
32,33.59,357
33,5.89,1
34,22.41,211
35,3.08,208
36,0.67,203
37,2.57,201
38,1.41,223
39,9.45,220
40,1.14,222
41,3.38,200
42,3.63,166
